,County FIPS,Plant state abbreviation,Plant county name,has_plant,Total Population,People of Color (%),Low Income (%),Less Than High School Education (%),Limited English Speaking (%),Unemployment Rate (%),Under Age 5 (%),Over Age 64 (%)
548,13321,GA,Worth County,0,20824.0,32.49615827890895,38.23572438679475,15.079798117582868,1.29387650525237,6.774400684931507,5.604110641567423,19.280637725701112
549,15001,HI,Hawaii County,0,200468.0,70.19673962926751,30.253270952323085,7.175247662899401,3.950869723537156,6.887600858995476,5.66574216333779,21.320609773130876
550,15003,HI,Honolulu County,0,1015167.0,82.25356025166303,19.685871443071328,7.252190301548492,6.437485055676119,4.813405582037357,6.189326485198987,17.793328585346057
552,15007,HI,Kauai County,0,73247.0,70.70869796715223,24.16596385958606,7.915904239097286,2.8983589200635254,4.41904561255662,5.683509222220706,20.29980750064849
553,15009,HI,Maui County,0,164568.0,70.31743716882991,21.12844990373792,7.445318666768517,3.696285168493481,5.714318730716341,5.719824024111613,18.555855330319382
554,16001,ID,Ada County,0,485246.0,16.596942581700826,22.801504496862826,4.97022342262778,1.2954124866075776,3.4992981908920773,5.503394154717401,14.6678179727396
555,16003,ID,Adams County,0,4321.0,9.071974080074057,32.72642390289449,7.4992704989786985,0.0,9.731543624161073,3.4019902800277717,29.83105762554964
556,16005,ID,Bannock County,0,86362.0,17.528542646071188,33.961120749067234,6.711945665201757,0.7298359428607073,5.242230570327365,6.603598805029991,14.330376786086473
557,16007,ID,Bear Lake County,0,6327.0,7.712976134028765,34.77707006369427,6.890674458242025,0.5826983415508741,4.156125767979761,6.495969653864391,20.025288446341076
558,16009,ID,Benewah County,0,9509.0,15.963823745924913,40.672000000000004,14.190391459074734,0.8132361189007292,4.4001023279611156,5.594699758123882,22.589126091071616
559,16011,ID,Bingham County,0,47540.0,26.67437946992007,36.16939774420089,10.674509257970207,1.8350383631713554,5.427475750056395,7.353807320151451,13.98611695414388
560,16013,ID,Blaine County,0,23868.0,28.326629797218033,28.014437402946236,9.975253358472779,4.612398675647905,2.3879694702637346,4.5584045584045585,19.14278531925591
561,16015,ID,Boise County,0,7549.0,11.710160286130614,25.375116186429423,5.293037234930707,0.030515715593530668,1.497097464100214,3.3249437011524705,26.069678103060006
562,16017,ID,Bonner County,0,46481.0,8.685269249800994,31.815023881893183,8.101411696917316,0.20719332731233067,3.69256976802445,4.851444676319356,24.93707106129386
563,16019,ID,Bonneville County,0,121771.0,18.17674158871981,32.056135932464564,7.49763673193788,1.5230374403377065,4.169932591315254,8.104556914207816,13.035944518809897
564,16021,ID,Boundary County,0,11966.0,11.164967407655023,36.05619584419954,11.715328467153284,0.0,4.135802469135803,6.267758649506937,22.63078723048638
565,16023,ID,Butte County,0,2573.0,9.327633113097551,41.15566037735849,10.783798001052078,4.366347177848776,2.868447082096934,4.974737660318694,21.37582588418189
566,16025,ID,Camas County,0,1044.0,11.302681992337165,34.67432950191571,20.473537604456823,4.179104477611941,2.375296912114014,6.0344827586206895,14.942528735632186
567,16027,ID,Canyon County,0,227367.0,31.317649439012698,35.83846997850191,13.47545692641302,3.1273220268279647,4.393697572563284,7.107451828981339,13.713951452937323
568,16029,ID,Caribou County,0,7003.0,9.11038126517207,25.19161243673174,10.309278350515463,0.9716599190283401,2.7291604865025216,6.340139940025703,16.65000713979723
569,16031,ID,Cassia County,0,24469.0,32.0364542891005,37.23373454109277,15.688836921383864,5.67287267274772,3.1196287383980748,7.838489517348482,13.948261065021047
571,16035,ID,Clearwater County,0,8719.0,10.609014795274687,33.83153894870171,7.5702431212694705,0.28785261945883706,5.767470247177296,3.991283404060099,27.491684826241542
572,16037,ID,Custer County,0,4273.0,11.888602855136906,36.73421300659755,12.991400491400492,0.5827505827505828,4.817073170731708,3.557219751930728,33.325532412824714
573,16039,ID,Elmore County,0,28396.0,29.359768981546697,41.891547397938744,10.746618978428524,3.454442771084337,6.870158613057913,8.085645865614875,13.53007465840259
574,16041,ID,Franklin County,0,14036.0,9.924479908805928,31.567598648745776,7.253638749701742,0.9269476936658574,0.8181537511577648,7.459390139640923,13.921345112567682
575,16043,ID,Fremont County,0,13370.0,15.026178010471202,34.3871975019516,11.463525147258723,2.798507462686567,5.337223270979921,6.110695587135377,17.277486910994764
576,16045,ID,Gem County,0,18692.0,15.284613738497754,30.611684603558093,12.203105968331302,3.7447789140141152,3.6620365055676727,5.29638347956345,21.469077680291036
577,16047,ID,Gooding County,0,15422.0,33.523537803138375,39.67994774657087,22.83146521256185,5.95524320325504,5.595254145881084,6.536117235118661,17.384256257294776
578,16049,ID,Idaho County,0,16494.0,9.506487207469384,37.96459065796082,7.846670488983537,0.7671833411617348,4.24681858538029,4.6865526858251485,27.76767309324603
579,16051,ID,Jefferson County,0,30427.0,13.944851612055082,34.9166611766256,8.206739006282124,1.6907437132156236,3.5204367301231803,8.094784237683635,11.144707003648076
580,16053,ID,Jerome County,0,24081.0,40.49665711556829,38.97708708582918,23.69420702754036,10.333501768569985,3.8376068376068377,7.877579834724472,12.607449856733524
581,16055,ID,Kootenai County,0,168317.0,11.686282431364628,27.81289430992009,6.462938660031019,0.591551899436177,3.55272175445467,5.77838245691166,18.91728108271892
582,16057,ID,Latah County,0,39464.0,13.427427528887087,32.97267609501579,3.4840333217632766,0.33108366229466446,5.354345659087673,5.179404013784715,13.886073383336711
583,16059,ID,Lemhi County,0,7948.0,6.806743834927026,37.06400919892679,10.036375661375661,0.47604879500148767,3.4524530587522717,4.453950679416206,30.070457976849525
584,16061,ID,Lewis County,0,3613.0,18.931635759756436,43.909899888765295,10.030983733539891,0.5141388174807198,3.6336109008327027,5.923055632438417,26.43232770550789
585,16063,ID,Lincoln County,0,5184.0,35.39737654320987,36.887159533073934,18.66387058118634,5.228031145717464,6.686815262561391,6.481481481481481,13.792438271604937
