YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2025,2,ME,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"2,593"
2025,2,ME,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2025,2,ME,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"3,352,161"
2025,2,ME,"Electric Generators, Independent Power Producers",Petroleum (Barrels),721
2025,2,MI,Total Electric Power Industry,Coal (Short Tons),"1,558,254"
2025,2,MI,Total Electric Power Industry,Natural Gas (Mcf),"25,566,336"
2025,2,MI,Total Electric Power Industry,Other Gases (Billion Btu),339
2025,2,MI,Total Electric Power Industry,Petroleum (Barrels),"413,048"
2025,2,MI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),244
2025,2,MI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"341,214"
2025,2,MI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"20,029"
2025,2,MI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"251,170"
2025,2,MI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),10
2025,2,MI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"6,761"
2025,2,MI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"7,087,876"
2025,2,MI,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),339
2025,2,MI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2025,2,MI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"3,583,142"
2025,2,MI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2025,2,MI,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,551,249"
2025,2,MI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"14,302,934"
2025,2,MI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"393,009"
2025,2,MN,Total Electric Power Industry,Coal (Short Tons),"798,355"
2025,2,MN,Total Electric Power Industry,Natural Gas (Mcf),"6,394,922"
2025,2,MN,Total Electric Power Industry,Petroleum (Barrels),"2,175"
2025,2,MN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,550"
2025,2,MN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"284,940"
2025,2,MN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),249
2025,2,MN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),235
2025,2,MN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"42,436"
2025,2,MN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),164
2025,2,MN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"780,422"
2025,2,MN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),22
2025,2,MN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,266,589"
2025,2,MN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),1
2025,2,MN,"Electric Generators, Electric Utilities",Coal (Short Tons),"794,570"
2025,2,MN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,020,535"
2025,2,MN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,739"
2025,2,MO,Total Electric Power Industry,Coal (Short Tons),"2,400,847"
2025,2,MO,Total Electric Power Industry,Natural Gas (Mcf),"4,596,595"
2025,2,MO,Total Electric Power Industry,Petroleum (Barrels),"65,072"
2025,2,MO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2025,2,MO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"16,934"
2025,2,MO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2025,2,MO,"Combined Heat and Power, Commercial Power",Coal (Short Tons),497
2025,2,MO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"51,293"
2025,2,MO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),21
2025,2,MO,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2025,2,MO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"76,604"
2025,2,MO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2025,2,MO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,610,022"
2025,2,MO,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,400,350"
2025,2,MO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,841,742"
2025,2,MO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"65,051"
2025,2,MS,Total Electric Power Industry,Coal (Short Tons),"160,148"
2025,2,MS,Total Electric Power Industry,Natural Gas (Mcf),"32,012,135"
2025,2,MS,Total Electric Power Industry,Petroleum (Barrels),"1,098"
2025,2,MS,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2025,2,MS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"271,002"
2025,2,MS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),444
2025,2,MS,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2025,2,MS,"Electric Generators, Independent Power Producers",Coal (Short Tons),"108,735"
2025,2,MS,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"20,845"
2025,2,MS,"Electric Generators, Electric Utilities",Coal (Short Tons),"51,413"
2025,2,MS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"31,720,288"
2025,2,MS,"Electric Generators, Electric Utilities",Petroleum (Barrels),654
2025,2,MT,Total Electric Power Industry,Coal (Short Tons),"595,296"
2025,2,MT,Total Electric Power Industry,Natural Gas (Mcf),"1,110,798"
2025,2,MT,Total Electric Power Industry,Other Gases (Billion Btu),6
2025,2,MT,Total Electric Power Industry,Petroleum (Barrels),"70,590"
2025,2,MT,"Combined Heat and Power, Industrial Power",Coal (Short Tons),268
2025,2,MT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),715
2025,2,MT,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),6
2025,2,MT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"69,272"
2025,2,MT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"595,028"
2025,2,MT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"169,443"
2025,2,MT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,274"
2025,2,MT,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2025,2,MT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"940,640"
2025,2,MT,"Electric Generators, Electric Utilities",Petroleum (Barrels),44
2025,2,NC,Total Electric Power Industry,Coal (Short Tons),"499,086"
2025,2,NC,Total Electric Power Industry,Natural Gas (Mcf),"32,606,563"
2025,2,NC,Total Electric Power Industry,Petroleum (Barrels),"19,272"
2025,2,NC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),654
2025,2,NC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"62,879"
2025,2,NC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),436
2025,2,NC,"Combined Heat and Power, Commercial Power",Coal (Short Tons),675
2025,2,NC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"111,763"
2025,2,NC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),738
2025,2,NC,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2025,2,NC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2025,2,NC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,326,791"
2025,2,NC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),726
2025,2,NC,"Electric Generators, Electric Utilities",Coal (Short Tons),"497,757"
2025,2,NC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"28,105,130"
2025,2,NC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"17,372"
2025,2,ND,Total Electric Power Industry,Coal (Short Tons),"1,718,489"
2025,2,ND,Total Electric Power Industry,Natural Gas (Mcf),"1,674,393"
2025,2,ND,Total Electric Power Industry,Other Gases (Billion Btu),34
2025,2,ND,Total Electric Power Industry,Petroleum (Barrels),"5,101"
2025,2,ND,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,082"
2025,2,ND,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"30,140"
2025,2,ND,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),34
2025,2,ND,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2025,2,ND,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),1
2025,2,ND,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,715,407"
2025,2,ND,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,644,253"
2025,2,ND,"Electric Generators, Electric Utilities",Petroleum (Barrels),"5,100"
2025,2,NE,Total Electric Power Industry,Coal (Short Tons),"957,127"
2025,2,NE,Total Electric Power Industry,Natural Gas (Mcf),"625,098"
2025,2,NE,Total Electric Power Industry,Petroleum (Barrels),"10,972"
2025,2,NE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"10,261"
2025,2,NE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"23,278"
2025,2,NE,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),13
2025,2,NE,"Electric Generators, Electric Utilities",Coal (Short Tons),"946,866"
2025,2,NE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"601,807"
2025,2,NE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"10,972"
2025,2,NH,Total Electric Power Industry,Coal (Short Tons),"12,711"
2025,2,NH,Total Electric Power Industry,Natural Gas (Mcf),"2,141,896"
2025,2,NH,Total Electric Power Industry,Petroleum (Barrels),"30,474"
2025,2,NH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"13,608"
2025,2,NH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2025,2,NH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"6,900"
2025,2,NH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,510"
2025,2,NH,"Electric Generators, Independent Power Producers",Coal (Short Tons),"12,711"
2025,2,NH,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,121,388"
2025,2,NH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"28,964"
2025,2,NJ,Total Electric Power Industry,Coal (Short Tons),0
2025,2,NJ,Total Electric Power Industry,Natural Gas (Mcf),"11,644,752"
2025,2,NJ,Total Electric Power Industry,Other Gases (Billion Btu),193
2025,2,NJ,Total Electric Power Industry,Petroleum (Barrels),"46,093"
2025,2,NJ,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"159,203"
2025,2,NJ,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),64
2025,2,NJ,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),82
2025,2,NJ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"172,823"
2025,2,NJ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),221
2025,2,NJ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,948,572"
2025,2,NJ,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),129
2025,2,NJ,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"9,094"
2025,2,NJ,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2025,2,NJ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"8,221,227"
2025,2,NJ,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"36,696"
2025,2,NJ,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2025,2,NJ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"142,927"
2025,2,NJ,"Electric Generators, Electric Utilities",Petroleum (Barrels),0
2025,2,NM,Total Electric Power Industry,Coal (Short Tons),"162,852"
2025,2,NM,Total Electric Power Industry,Geothermal (Billion Btu),12
2025,2,NM,Total Electric Power Industry,Natural Gas (Mcf),"6,516,679"
2025,2,NM,Total Electric Power Industry,Petroleum (Barrels),89
2025,2,NM,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),0
2025,2,NM,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2025,2,NM,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"43,176"
2025,2,NM,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,985"
2025,2,NM,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),12
2025,2,NM,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,528,238"
2025,2,NM,"Electric Generators, Electric Utilities",Coal (Short Tons),"162,852"
2025,2,NM,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,942,280"
2025,2,NM,"Electric Generators, Electric Utilities",Petroleum (Barrels),89
2025,2,NV,Total Electric Power Industry,Coal (Short Tons),"146,979"
2025,2,NV,Total Electric Power Industry,Geothermal (Billion Btu),"1,097"
2025,2,NV,Total Electric Power Industry,Natural Gas (Mcf),"10,581,116"
2025,2,NV,Total Electric Power Industry,Other Gases (Billion Btu),0
2025,2,NV,Total Electric Power Industry,Petroleum (Barrels),882
2025,2,NV,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"301,366"
2025,2,NV,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"19,649"
2025,2,NV,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"22,040"
2025,2,NV,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),0
2025,2,NV,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2025,2,NV,"Electric Generators, Independent Power Producers",Coal (Short Tons),"67,653"
2025,2,NV,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"1,097"
2025,2,NV,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),0
2025,2,NV,"Electric Generators, Independent Power Producers",Petroleum (Barrels),59
2025,2,NV,"Electric Generators, Electric Utilities",Coal (Short Tons),"79,326"
2025,2,NV,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"10,238,061"
2025,2,NV,"Electric Generators, Electric Utilities",Petroleum (Barrels),823
2025,2,NY,Total Electric Power Industry,Coal (Short Tons),0
2025,2,NY,Total Electric Power Industry,Natural Gas (Mcf),"36,819,078"
2025,2,NY,Total Electric Power Industry,Other Gases (Billion Btu),0
2025,2,NY,Total Electric Power Industry,Petroleum (Barrels),"249,537"
2025,2,NY,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2025,2,NY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"385,449"
2025,2,NY,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2025,2,NY,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,632"
2025,2,NY,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2025,2,NY,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"439,594"
2025,2,NY,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"3,096"
2025,2,NY,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"7,910,918"
2025,2,NY,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"30,731"
2025,2,NY,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2025,2,NY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"20,595,562"
2025,2,NY,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"64,483"
2025,2,NY,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2025,2,NY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"7,487,555"
2025,2,NY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"149,595"
2025,2,OH,Total Electric Power Industry,Coal (Short Tons),"1,221,923"
2025,2,OH,Total Electric Power Industry,Natural Gas (Mcf),"47,930,348"
2025,2,OH,Total Electric Power Industry,Other Gases (Billion Btu),425
2025,2,OH,Total Electric Power Industry,Petroleum (Barrels),"148,204"
2025,2,OH,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2025,2,OH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"206,605"
2025,2,OH,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),94
2025,2,OH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),26
2025,2,OH,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2025,2,OH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"66,828"
2025,2,OH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,109"
2025,2,OH,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2025,2,OH,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"72,040"
2025,2,OH,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),330
2025,2,OH,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"111,586"
2025,2,OH,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,010,739"
2025,2,OH,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"40,983,737"
2025,2,OH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"29,480"
2025,2,OH,"Electric Generators, Electric Utilities",Coal (Short Tons),"211,184"
2025,2,OH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"6,601,138"
2025,2,OH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"6,003"
2025,2,OK,Total Electric Power Industry,Coal (Short Tons),"479,656"
2025,2,OK,Total Electric Power Industry,Natural Gas (Mcf),"22,446,293"
2025,2,OK,Total Electric Power Industry,Petroleum (Barrels),"5,916"
2025,2,OK,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,479"
2025,2,OK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"278,058"
2025,2,OK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),320
2025,2,OK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),142
2025,2,OK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2025,2,OK,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"6,387,385"
2025,2,OK,"Electric Generators, Electric Utilities",Coal (Short Tons),"477,177"
2025,2,OK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"15,780,708"
2025,2,OK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"5,596"
2025,2,OR,Total Electric Power Industry,Geothermal (Billion Btu),51
2025,2,OR,Total Electric Power Industry,Natural Gas (Mcf),"14,580,375"
2025,2,OR,Total Electric Power Industry,Petroleum (Barrels),"2,973"
2025,2,OR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"65,581"
2025,2,OR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2025,2,OR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"18,054"
2025,2,OR,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),23
2025,2,OR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"4,227,719"
2025,2,OR,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),51
2025,2,OR,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,716,310"
2025,2,OR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"7,552,711"
2025,2,OR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,950"
2025,2,PA,Total Electric Power Industry,Coal (Short Tons),"1,228,249"
2025,2,PA,Total Electric Power Industry,Natural Gas (Mcf),"81,701,081"
2025,2,PA,Total Electric Power Industry,Other Gases (Billion Btu),286
2025,2,PA,Total Electric Power Industry,Petroleum (Barrels),"32,637"
2025,2,PA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,710"
2025,2,PA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,651,024"
2025,2,PA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),286
2025,2,PA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"2,168"
2025,2,PA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2025,2,PA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"63,855"
2025,2,PA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),908
2025,2,PA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"164,518"
2025,2,PA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"4,348,895"
2025,2,PA,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),0
2025,2,PA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,690"
2025,2,PA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,062,021"
2025,2,PA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"75,620,265"
2025,2,PA,"Electric Generators, Independent Power Producers",Other Gases (Billion Btu),0
2025,2,PA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"25,855"
2025,2,PA,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2025,2,PA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"17,042"
2025,2,PA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,017"
2025,2,RI,Total Electric Power Industry,Coal (Short Tons),0
2025,2,RI,Total Electric Power Industry,Natural Gas (Mcf),"4,108,308"
2025,2,RI,Total Electric Power Industry,Petroleum (Barrels),566
2025,2,RI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"115,417"
2025,2,RI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2025,2,RI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"10,956"
2025,2,RI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),294
2025,2,RI,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2025,2,RI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"3,981,935"
2025,2,RI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),246
2025,2,RI,"Electric Generators, Electric Utilities",Petroleum (Barrels),26
2025,2,SC,Total Electric Power Industry,Coal (Short Tons),"590,915"
2025,2,SC,Total Electric Power Industry,Natural Gas (Mcf),"12,461,565"
2025,2,SC,Total Electric Power Industry,Petroleum (Barrels),"16,713"
2025,2,SC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),406
2025,2,SC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"42,293"
2025,2,SC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),489
2025,2,SC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2025,2,SC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2025,2,SC,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"249,553"
2025,2,SC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2025,2,SC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"663,030"
2025,2,SC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),2
2025,2,SC,"Electric Generators, Electric Utilities",Coal (Short Tons),"590,509"
2025,2,SC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"11,506,689"
2025,2,SC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"16,222"
2025,2,SD,Total Electric Power Industry,Coal (Short Tons),"103,052"
2025,2,SD,Total Electric Power Industry,Natural Gas (Mcf),"1,028,260"
2025,2,SD,Total Electric Power Industry,Other Gases (Billion Btu),0
2025,2,SD,Total Electric Power Industry,Petroleum (Barrels),"3,408"
2025,2,SD,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"34,565"
2025,2,SD,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2025,2,SD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),2
2025,2,SD,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2025,2,SD,"Electric Generators, Electric Utilities",Coal (Short Tons),"103,052"
2025,2,SD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"993,695"
2025,2,SD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,406"
2025,2,TN,Total Electric Power Industry,Coal (Short Tons),"586,152"
2025,2,TN,Total Electric Power Industry,Natural Gas (Mcf),"11,408,284"
2025,2,TN,Total Electric Power Industry,Other Gases (Billion Btu),4
2025,2,TN,Total Electric Power Industry,Petroleum (Barrels),"33,135"
2025,2,TN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"7,444"
2025,2,TN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"728,578"
2025,2,TN,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),4
2025,2,TN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),16
2025,2,TN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2025,2,TN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"74,464"
2025,2,TN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2025,2,TN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),0
2025,2,TN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2025,2,TN,"Electric Generators, Electric Utilities",Coal (Short Tons),"578,708"
2025,2,TN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"10,605,242"
2025,2,TN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"33,119"
2025,2,TX,Total Electric Power Industry,Coal (Short Tons),"3,776,190"
2025,2,TX,Total Electric Power Industry,Natural Gas (Mcf),"152,640,638"
2025,2,TX,Total Electric Power Industry,Other Gases (Billion Btu),"1,448"
2025,2,TX,Total Electric Power Industry,Petroleum (Barrels),"40,628"
2025,2,TX,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"18,205,724"
2025,2,TX,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),716
2025,2,TX,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"8,010"
2025,2,TX,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"139,072"
2025,2,TX,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),31
2025,2,TX,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"20,497,752"
2025,2,TX,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),732
2025,2,TX,"Combined Heat and Power, Electric Power",Petroleum (Barrels),11
2025,2,TX,"Electric Generators, Independent Power Producers",Coal (Short Tons),"2,514,755"
2025,2,TX,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"70,406,614"
2025,2,TX,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"22,095"
2025,2,TX,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,261,435"
2025,2,TX,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"43,391,476"
2025,2,TX,"Electric Generators, Electric Utilities",Petroleum (Barrels),"10,481"
2025,2,US-Total,Total Electric Power Industry,Coal (Short Tons),"35,178,666"
2025,2,US-Total,Total Electric Power Industry,Geothermal (Billion Btu),"4,271"
2025,2,US-Total,Total Electric Power Industry,Natural Gas (Mcf),"953,073,229"
2025,2,US-Total,Total Electric Power Industry,Other Gases (Billion Btu),"5,932"
2025,2,US-Total,Total Electric Power Industry,Petroleum (Barrels),"2,700,027"
2025,2,US-Total,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"113,219"
2025,2,US-Total,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"45,798,362"
2025,2,US-Total,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"4,395"
2025,2,US-Total,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"62,273"
2025,2,US-Total,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"6,979"
2025,2,US-Total,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"3,573,245"
2025,2,US-Total,"Combined Heat and Power, Commercial Power",Other Gases (Billion Btu),0
2025,2,US-Total,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"13,450"
2025,2,US-Total,"Combined Heat and Power, Electric Power",Coal (Short Tons),"314,342"
